continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,,new_deaths_smoothed_per_million,reproduction_rate,stringency_index,population,population_density,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,
Asia,Afghanistan,28-03-20,107,16,11,4,1,0.571,2.749,0.411,0.308,0.026,0.015,,67.59,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,29-03-20,118,11,12,4,0,0.429,3.031,0.283,0.385,0,0.011,1.47,67.59,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,30-03-20,146,28,15,4,0,0.429,3.75,0.719,0.484,0,0.011,1.48,67.59,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,31-03-20,175,29,18.857,4,0,0.429,4.495,0.745,0.444,0,0.011,1.48,67.59,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,01-04-20,197,22,17.286,4,0,0.286,5.061,0.565,0.587,0,0.007,1.48,67.59,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,02-04-20,240,43,22.857,4,0,0.143,6.165,1.105,0.675,0,0.004,1.48,67.59,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,03-04-20,275,35,26.286,8,4,0.714,7.064,0.899,0.708,0.103,0.018,1.46,67.59,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,04-04-20,300,25,27.571,10,2,0.857,7.706,0.642,0.807,0.051,0.022,1.45,67.59,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,05-04-20,338,38,31.429,12,2,1.143,8.683,0.976,0.815,0.051,0.029,1.44,78.7,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,06-04-20,368,30,31.714,15,3,1.571,9.453,0.771,0.914,0.077,0.04,1.42,78.7,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,07-04-20,424,56,35.571,16,1,1.714,10.892,1.439,0.91,0.026,0.044,1.41,78.7,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,08-04-20,445,21,35.429,16,0,1.714,11.431,0.539,0.899,0,0.044,1.39,78.7,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,09-04-20,485,40,35,17,1,1.857,12.459,1.028,0.943,0.026,0.048,1.38,78.7,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,10-04-20,532,47,36.714,18,1,1.429,13.666,1.207,0.939,0.026,0.037,1.38,78.7,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,11-04-20,556,24,36.571,18,0,1.143,14.283,0.617,0.991,0,0.029,1.38,78.7,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,12-04-20,608,52,38.571,19,1,1,15.618,1.336,1.094,0.026,0.026,1.39,84.26,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,13-04-20,666,58,42.571,22,3,1,17.108,1.49,1.068,0.077,0.026,1.39,84.26,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,14-04-20,715,49,41.571,23,1,1,18.367,1.259,1.248,0.026,0.026,1.38,84.26,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,15-04-20,785,70,48.571,29,6,1.857,20.165,1.798,1.306,0.154,0.048,1.38,84.26,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,16-04-20,841,56,50.857,30,1,1.857,21.604,1.439,1.376,0.026,0.048,1.37,84.26,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,17-04-20,907,66,53.571,30,0,1.714,23.299,1.695,1.387,0,0.044,1.36,84.26,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,18-04-20,934,27,54,30,0,1.714,23.993,0.694,1.428,0,0.044,1.36,84.26,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,19-04-20,997,63,55.571,33,3,2,25.611,1.618,1.325,0.077,0.051,1.37,84.26,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,20-04-20,1027,30,51.571,36,3,2,26.382,0.771,1.387,0.077,0.051,1.37,84.26,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,21-04-20,1093,66,54,36,0,1.857,28.077,1.695,1.439,0,0.048,1.4,84.26,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
Asia,Afghanistan,22-04-20,1177,84,56,40,4,1.571,30.235,2.158,1.45,0.103,0.04,1.44,84.26,38928341,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
